ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude.x,Longitude.x,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID,X,Latitude.y,Longitude.y
202,100194,I-80,WB,Echo Canyon / MP 168.31,NA,SU,6558,"I-80 WB @ Echo Canyon / MP 168.31, SU",R2,168.31, 40.979593,-111.424075,10.252.201.142:502,"I-80 WB @ Echo Canyon / MP 168.31, SU (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
203,100195,I-80,WB,Silvercreek Jct / US-40 / MP 147.5,NA,SU,10414,"I-80 WB @ Silvercreek Jct / US-40 / MP 147.5, SU",R2,147.5, 40.736450,-111.487578,10.213.7.168:502,"I-80 WB @ Silvercreek Jct / US-40 / MP 147.5, SU (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,65,40.738925,-111.488129
204,100196,I-80 / Parleys Canyon,EB,Milepost 129.03,NA,SL,6559,"I-80 / Parleys Canyon EB @ Milepost 129.03, SL",R2,129.03, 40.715924,-111.784007,10.202.7.238:502,"I-80 / Parleys Canyon EB @ Milepost 129.03, SL (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
205,100197,I-80,WB,Jeremy Ranch / MP 143,NA,SU,5789,"I-80 WB @ Jeremy Ranch / MP 143, SU",R2,143, 40.740055,-111.558081,10.213.7.168:502,"I-80 WB @ Jeremy Ranch / MP 143, SU (Chain-Up)",NA,NA,NA,FALSE,FALSE,1/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
206,100198,Little Cottonwood Rd / SR-210,SB,Wasatch Blvd / 8900 S,CWH,SL,7827,"Little Cottonwood Rd / SR-210 @ Wasatch Blvd / 8900 S, CWH",R2,2.22, 40.588757,-111.793375,10.201.12.50:502,"Little Cottonwood Rd / SR-210 SB @ Wasatch Blvd / 8900 S, CWH (Chain-Up)",NA,NA,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
207,100199,Little Cottonwood Canyon Rd / SR-210,EB,Little Cottonwood Rd / SR-209,NA,SL,15390,"Little Cottonwood Canyon Rd / SR-210 @ Little Cottonwood Rd / SR-209, SL",R2,3.87, 40.572435,-111.776237,10.201.12.143:502,"Little Cottonwood Canyon Rd / SR-210 EB @ Little Cottonwood Rd / SR-209, SL (Chain-Up)",NA,NA,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
208,100200,I-15,NB,Beaver / MP 106,NA,BV,6672,"I-15 NB @ Beaver / MP 106, BV",R4,105.97, 38.209102,-112.646616,10.136.6.14:5102,"I-15 NB @ Beaver / MP 106, BV",Wanco,NTCIP,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,100200,38.209103,-112.646606
209,100202,Little Cottonwood Canyon Rd / SR-210,WB,Snowbird Entry 1 / MP 10.06,NA,SL,6673,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 1 / MP 10.06, SL",R2,10.06, 40.578520,-111.668059,10.201.16.26:502,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 1 / MP 10.06, SL (Chain-Up)",Adam,Chain-Up,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
210,100203,Little Cottonwood Canyon Rd / SR-210,WB,Snowbird Entry 2 / MP 10.38,NA,SL,6674,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 2 / MP 10.38, SL",R2,10.38, 40.580260,-111.662893,10.201.16.38:502,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 2 / MP 10.38, SL (Chain-Up)",Adam,Chain-Up,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
211,100204,Little Cottonwood Canyon Rd / SR-210,WB,Snowbird Entry 4 / Alta Bypass Rd / MP 10.88,NA,SL,6675,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 4 / Alta Bypass Rd / MP 10.88, SL",R2,10.88, 40.583786,-111.654339,10.201.16.50:502,"Little Cottonwood Canyon Rd / SR-210 WB @ Snowbird Entry 4 / Alta Bypass Rd / MP 10.88, SL (Chain-Up)",Adam,Chain-Up,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
